City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
248,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
249,Acarau,BR,77.47,scattered clouds,-2.8856,-40.12,castelo pizzaria
250,Shingu,JP,88.79,clear sky,33.7333,135.9833,Shingu UI Hotel
252,Carbonia,IT,77.0,clear sky,39.1672,8.5222,Lu 'Hotel
253,Atar,MR,83.21,broken clouds,20.5169,-13.0499,Oumou Elghoura
254,Chirongui,YT,75.13,light rain,-12.9319,45.1483,La Villa Mahatsara
255,Eureka,US,60.58,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
256,Hamilton,US,82.35,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
257,Houma,US,82.4,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
258,Hasaki,JP,84.6,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
260,Ranong,TH,73.33,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
261,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,Ikathouse
262,Verkhoyansk,RU,67.03,few clouds,67.5447,133.385,
263,Qeshm,IR,87.67,broken clouds,26.9581,56.2719,Qeshm Kavan Hotel
264,Ketchikan,US,66.67,overcast clouds,55.3422,-131.6461,Snows Cove Lodge
266,Charleston,US,83.1,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
267,Tommot,RU,67.75,clear sky,58.9564,126.2925,Gostinitsa Tommot
268,Fairbanks,US,71.1,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
269,Allapalli,IN,77.72,overcast clouds,19.4167,80.0667,Hotel IK Residency
270,Royan,FR,66.18,clear sky,45.6285,-1.0281,Hôtel Cordouan Thalassothérapie et Spa - Royan
271,Pirovskoye,RU,65.66,overcast clouds,57.6267,92.2658,
273,Lorengau,PG,85.35,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
276,Nemuro,JP,77.43,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
277,Arimalam,IN,82.65,overcast clouds,10.2667,78.9,Government Ladies Hostel
278,Kanniyakumari,IN,79.61,overcast clouds,8.0833,77.5667,Sparsa
279,Bougouni,ML,70.12,light rain,11.417,-7.479,Non Stop
280,Pishin,PK,79.84,clear sky,30.5803,66.9961,City Hotel Pishin
281,Pailon,BO,61.7,scattered clouds,-17.65,-62.75,Alojamiento pailon
282,Sirjan,IR,75.11,few clouds,29.452,55.6814,MAPNA Building
285,Madeji,PK,86.02,scattered clouds,27.7544,68.4526,Maki Madani hotal Madeji
287,Neenah,US,77.14,scattered clouds,44.1858,-88.4626,Best Western Premier Bridgewood Resort Hotel
289,Uromi,NG,67.32,broken clouds,6.7,6.3333,Royal Motel
291,Acapulco,MX,81.37,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
293,Tessalit,ML,85.84,scattered clouds,20.1986,1.0114,
295,Jambi,ID,82.24,broken clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
297,Ixtapa,MX,85.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
298,Huilong,CN,88.03,light rain,31.8111,121.655,Hilton Garden Inn Qidong
299,Varkkallai,IN,80.38,overcast clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
301,Buraydah,SA,86.45,scattered clouds,26.326,43.975,فندق راحة السلام
302,Constantine,DZ,78.21,few clouds,36.365,6.6147,Grand Hotel Cirta
303,Bukama,CD,67.14,clear sky,-9.2,25.85,
304,Kirakira,SB,84.04,few clouds,-10.4544,161.9205,SanBiz Lodge
305,Kommunar,RU,63.93,scattered clouds,59.6206,30.39,Guest House Izhora
307,Sukumo,JP,88.5,clear sky,32.9333,132.7333,Sukumojo
310,Karratha,AU,74.01,clear sky,-20.7377,116.8463,ibis Styles Karratha
311,Vorobyevka,RU,69.22,overcast clouds,50.6451,40.9245,
314,Phalaborwa,ZA,61.88,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
316,Fortuna,US,60.33,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
317,Tahoua,NE,82.04,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
318,Asfi,MA,69.17,scattered clouds,32.2994,-9.2372,Hôtel Abda
319,Issoudun,FR,60.49,overcast clouds,47.0,1.8333,
320,Xining,CN,69.4,clear sky,36.6167,101.7667,Super Leisure Hotel
321,Lyubar,UA,61.79,clear sky,49.9204,27.7592,Hotel Agro-technological Kompaniyiyi
