City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
135,Ugoofaaru,5.6667,73.0,82.35,73,34,8.16,MV,2021-07-30 01:37:55,scattered clouds
136,Chifeng,42.2683,118.9636,66.29,96,100,6.35,CN,2021-07-30 01:37:56,moderate rain
137,Mantua,45.1667,10.7833,75.74,85,4,1.01,IT,2021-07-30 01:37:57,clear sky
138,Gillette,44.2911,-105.5022,81.52,40,90,10.0,US,2021-07-30 01:32:57,overcast clouds
139,Sibut,5.718,19.0739,69.73,97,88,1.21,CF,2021-07-30 01:37:57,light rain
140,Barrow,71.2906,-156.7887,53.62,82,90,5.75,US,2021-07-30 01:37:57,light rain
141,Pirot,43.1531,22.5861,77.97,80,0,0.65,RS,2021-07-30 01:37:59,clear sky
142,Opuwo,-18.0607,13.84,55.98,27,8,10.13,NA,2021-07-30 01:37:59,clear sky
143,Padang,-0.9492,100.3543,75.25,64,100,0.89,ID,2021-07-30 01:37:59,overcast clouds
144,Salalah,17.0151,54.0924,78.89,89,90,12.66,OM,2021-07-30 01:38:00,overcast clouds
145,Adre,13.4667,22.2,72.36,81,31,3.33,TD,2021-07-30 01:38:00,scattered clouds
146,Thompson,55.7435,-97.8558,73.56,46,75,3.44,CA,2021-07-30 01:38:01,broken clouds
147,Leningradskiy,69.3833,178.4167,32.79,97,100,20.36,RU,2021-07-30 01:38:01,light snow
148,Doka,13.5167,35.7667,71.2,95,100,13.27,SD,2021-07-30 01:38:01,overcast clouds
149,Tucuma,-0.1833,-50.05,75.47,92,78,4.72,BR,2021-07-30 01:38:02,broken clouds
150,Matanza,7.3223,-73.0152,65.03,91,96,6.46,CO,2021-07-30 01:38:03,overcast clouds
151,Laguna,38.421,-121.4238,107.76,29,1,5.99,US,2021-07-30 01:38:03,clear sky
152,Alyangula,-13.8483,136.4192,85.87,51,1,3.44,AU,2021-07-30 01:38:04,clear sky
153,Preobrazheniye,42.9019,133.9064,79.83,73,100,4.59,RU,2021-07-30 01:38:04,overcast clouds
154,Ketchikan,55.3422,-131.6461,66.67,72,90,8.05,US,2021-07-30 01:35:19,overcast clouds
155,Neiafu,-18.65,-173.9833,81.28,74,40,10.36,TO,2021-07-30 01:34:36,scattered clouds
156,Mangan,27.5167,88.5333,78.82,91,100,3.67,IN,2021-07-30 01:38:05,overcast clouds
157,Porangatu,-13.4408,-49.1486,70.3,36,0,6.08,BR,2021-07-30 01:38:06,clear sky
158,Savonlinna,61.8699,28.88,61.05,88,75,6.91,FI,2021-07-30 01:38:06,broken clouds
159,Deputatskiy,69.3,139.9,55.94,41,87,4.07,RU,2021-07-30 01:38:06,overcast clouds
